Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Захарченко,Йосип,Васильович,Чоловіча,02.10.1961,Інженер,хутір Старобільськ,"вулиця Панаса Мирного, буд. 4, Марганець , 90007",220 64 38,oleksandr73@example.com
Коваленко,Альберт,Іванович,Чоловіча,03.08.1986,Диригент,місто Звенигородка,"площа Бориса Літвака, буд. 091 кв. 7, Ходорів, 01490",+380 38 706-93-15,volodymyratkachenko@example.org
Цюпа,Петро,Михайлович,Чоловіча,27.03.1947,Продюсер,село Олександрівськ,"проспект Геологічна, буд. 348, Борщів, 60108",394-90-72,bohdannazhadan@example.com
Павличенко,Камілла,Василівна,Жіноча,22.08.1994,Редактор,село Золочів,"шосе Лінія 50-та, буд. 992 кв. 06, Мерефа, 70102",736 28 64,bbabiak@example.com
Радченко,Ольга,Іванівна,Жіноча,07.01.2002,Фармацевт,хутір Молодогвардійськ,"вулиця 15-та ст. Великого Фонтану пляж, буд. 3 кв. 90, Борислав, 78515",094 254 17 40,kamillaierchenko@example.com
Іщак,Володимира,Василівна,Жіноча,23.01.1994,Флорист,місто Великі Мости,"сквер Крайня, буд. 1, Бердянськ, 17951",+380 52 385 27 92,vereszakhar@example.org
Наливайко,Орест,Сергійович,Чоловіча,02.08.1955,Нотаріус,селище Шостка,"набережна Західний 1-й, буд. 124 кв. 99, Носівка, 57711",+380 74 493-63-11,panasshapoval@example.org
Лемешко,Антон,Васильович,Чоловіча,15.03.1970,Мірошник,село Лиман ,"узвіз Мінська, буд. 00, Білогірськ, 29663",056 779 46 50,ievhen92@example.com
Ковалюк,Хома,Сергійович,Чоловіча,06.08.1972,Слідчий,селище Боково-Хрустальне,"сквер Водопровідний 3-й, буд. 51, Костопіль, 11368",035 807 95 61,panteleimonprokopovych@example.org
Чубай,Леопольд,Володимирович,Чоловіча,24.08.1995,Футболіст,село Моспине,"набережна Толбухіна, буд. 04 кв. 908, Оріхів, 69628",+380 85 311-18-68,liakovenko@example.org
Теліженко,Святослав,Миколайович,Чоловіча,26.05.1966,Астронавт,село Старий Крим,"площа Маячний, буд. 41, Стрий, 22061",000 493-13-36,solomiianesterenko@example.net
Щириця,Володимира,Іванівна,Жіноча,21.12.1947,Режисер,селище Кадіївка,"вулиця Ушинського, буд. 900 кв. 4, Дрогобич, 88341",973-80-69,kylymnykoleksa@example.com
Малик,Венедикт,Олександрович,Чоловіча,31.12.1968,Бухгалтер,село Долина ,"шосе Віцеадмірала Жукова, буд. 88 кв. 94, Сулимівка (Слов'янськ), 54059",+380 80 497-57-50,eshovkoplias@example.org
Бараник,Оксана,Миколаївна,Жіноча,23.03.1949,Гицель,село Рава-Руська,"площа Анни Ахматової, буд. 2, Христинівка, 86932",+380 90 188 00 96,fomenkosolomiia@example.net
Ґоляш,Юхим,Сергійович,Чоловіча,01.03.1973,Флорист,село Карлівка,"вулиця Псковська, буд. 6, Дубровиця, 72283",231 29 96,xandroshchuk@example.net
Андрощук,Богуслава,Олександрівна,Жіноча,27.03.1960,Гінеколог,хутір Щолкіне,"проспект Волниста, буд. 2 кв. 3, Херсон, 67683",+380 73 432-03-49,wbaidak@example.com
Хорішко,Валерій,Іванович,Чоловіча,01.12.1941,Юрист,місто Буськ,"площа Героїв Крут, буд. 233 кв. 6, Вугледар, 59400",+380 (99) 877-46-75,averchenkofedir@example.com
Хорішко,Пилип,Михайлович,Чоловіча,24.05.1981,Швачка,селище Перевальськ,"сквер Багрицького, буд. 33 кв. 9, Буськ, 19792",936 64 55,iakiv38@example.com
Байрак,Лесь,Сергійович,Чоловіча,12.11.1952,Краєзнавець,село Сокаль,"сквер 5-та Лінія Марії Демченко, буд. 9, Баранівка, 68054",+380 48 455-45-32,ivitruk@example.com
Хмара,Єлисавета,Олександрівна,Жіноча,01.08.1996,Математик,хутір Гірник ,"проспект Стовпова, буд. 50, Мелітополь, 18230",035 198-14-32,opanas21@example.org
Шморгун,Соломон,Васильович,Чоловіча,10.03.1997,Менеджер,село Олевськ,"вулиця Лізи Чайкіної, буд. 981 кв. 19, Кобеляки, 31117",009 010-06-37,iushchenkobohuslav@example.net
Бандурка,Еріка,Михайлівна,Жіноча,20.12.1970,Фольклорист,село Покров,"площа Коцебу міст, буд. 4 кв. 79, Білгород-Дністровський, 78742",+380 26 627-75-52,kabaliuktetiana@example.org
Масоха,Микита,Володимирович,Чоловіча,28.07.1960,Кухар,село Батурин,"площа Зелена гірка, буд. 706, Люботин, 21542",+380 83 592 73 39,ishchenkoiustyna@example.net
Вернигора,Валентина,Іванівна,Жіноча,23.11.1979,Геолог,селище Ладижин,"шосе Восьмого Березня Лінія 4-та, буд. 510 кв. 0, Білицьке, 98579",889 34 32,trokhym00@example.org
Юхименко,Пріска,Вікторівна,Жіноча,02.11.1961,Ботанік,селище Чорноморськ,"шосе 10-та Суворовська, буд. 3, Валки , 23751",091 375-92-85,gderiazhnyi@example.net
Андрійович,Михайлина,Вікторівна,Жіноча,26.05.1939,Гірник,село Павлоград,"площа Новоукраїнський, буд. 58, Володимир-Волинський, 49515",+380 48 523-36-81,danmakohon@example.com
Засуха,Опанас,Васильович,Чоловіча,15.01.1946,Круп'є,хутір Новгород-Сіверський,"площа 14-та Суворовська, буд. 2, Краматорськ, 53270",312 14 15,sirkomariana@example.net
Баранник,Христина,Олександрівна,Жіноча,12.05.1972,Кінорежисер,хутір Ямпіль,"узвіз Шкільний, буд. 593 кв. 5, Петрово-Красносілля, 94113",+380 27 155-71-59,stanislavchupryna@example.org
Каденюк,Лариса,Володимирівна,Жіноча,30.12.1999,Мовознавець,хутір Таврійськ,"площа Килимовий, буд. 9 кв. 110, Покров, 73089",+380 (01) 049-63-41,qdemianchuk@example.com
Єщенко,Ростислав,Миколайович,Чоловіча,09.04.1989,Філолог,хутір Слов'янськ,"узвіз Володимира Хавкіна, буд. 8 кв. 399, Армянськ, 31306",+380 06 378-85-71,venedykt70@example.net
Слюсар,Трохим,Вікторович,Чоловіча,01.11.2006,Маркетолог,селище Берестечко,"узвіз Жевахова, буд. 14, Коростишів, 23029",+380 65 847-77-32,oisaienko@example.org
Короленко,Данна,Іванівна,Жіноча,23.06.1997,Парфюмер,місто Виноградів,"сквер Університетський, буд. 840, Христинівка, 57157",097 672 63 10,stanislav91@example.org
Фартушняк,Ольга,Іванівна,Жіноча,05.12.1973,Кіноактор,місто Новоселиця,"набережна Чорноморський 12-й, буд. 10 кв. 14, Бершадь, 46299",702 43 43,dadamchuk@example.com
Лисенко,Ростислав,Олександрович,Чоловіча,12.12.2002,Клавішник,село Борзна,"провулок Наклонна, буд. 249, Географія Вільнянська, 67238",077 493 60 11,omedvedenko@example.org
Бабенко,Альберт,Володимирович,Чоловіча,06.10.1947,Ді-джей,місто Лохвиця,"набережна Весняна, буд. 7, Антрацит , 65717",+380 58 566-09-86,venedykt91@example.org
Заруба,Зорян,Михайлович,Чоловіча,17.02.1947,Флорист,хутір Ямпіль,"площа Водопровідний 1-й, буд. 113, Берестечко, 27635",793 65 74,snizhanasmyk@example.com
Комар,Ада,Миколаївна,Жіноча,14.10.1942,Письменник,село Немирів,"площа Кавунова, буд. 4, Новоазовськ, 17348",+380 (74) 063-30-29,leontiivoblyi@example.net
Андрієвич,Аарон,Васильович,Чоловіча,31.12.2001,Біолог,місто Васильків,"узвіз Мічманський 2-й, буд. 35, Рава-Руська, 93087",044 01 70,symonumanets@example.net
Устенко,Петро,Володимирович,Чоловіча,14.11.1999,Ріелтор,селище Підгайці,"вулиця Горбатий міст, буд. 029, Лохвиця, 92341",064 373 53 32,lukianskyba@example.net
Таран,Розалія,Миколаївна,Жіноча,27.07.1957,Кухар,хутір Часів Яр,"узвіз Травневий 4-й, буд. 2 кв. 68, Тернопіль, 55793",065 786 38 93,vanchenkonazar@example.org
Савенко,Адам,Михайлович,Чоловіча,29.03.1939,Кухар,хутір Берестечко,"площа Радіальна, буд. 339 кв. 4, Корсунь-Шевченківський, 66641",+380 39 952-87-14,azarbarannyk@example.com
Корбут,Степан,Сергійович,Чоловіча,02.11.1958,Публіцист,місто Красноград,"шосе Суворовська, буд. 403, Тлумач, 79342",+380 00 415-96-73,zakhar35@example.com
Кириленко,Марина,Михайлівна,Жіноча,15.01.1979,Композитор,хутір Міусинськ,"узвіз Трудовий, буд. 01, Дрогобич, 18401",+380 31 717-11-20,pylyp67@example.net
Бабенко,Світлана,Сергіївна,Жіноча,03.07.1961,Паралегал,село Овруч,"площа Запорізька, буд. 625, Городок, 65052",+380 64 388 34 81,havrylenkoanton@example.org
Заруба,Остап,Вікторович,Чоловіча,25.08.1973,Бізнесмен,селище Географія Вільнянська,"вулиця Новоселів, буд. 298, Вилкове, 89010",029 777 01 24,leopold80@example.org
Дейсун,Наталія,Володимирівна,Жіноча,31.08.1953,Художник,хутір Кам'янка (Черкаська область),"набережна Вапняний 1-й, буд. 746, Трускавець, 85368",+380 99 145-55-35,danylo16@example.com
Акуленко,Алевтин,Олександрович,Чоловіча,05.04.1989,Лікар,хутір Миргород,"вулиця Тепличний 2-й, буд. 8, Погребище, 29511",+380 (98) 761-24-76,wradchenko@example.com
Москаль,Ростислав,Олександрович,Чоловіча,28.05.2002,Ґрунтознавець,село Торецьк,"узвіз Флотська, буд. 9, Берестечко, 32524",967-44-16,demyd14@example.net
Жарко,Михайлина,Сергіївна,Жіноча,04.02.1970,Дипломат,село Черкаси,"провулок Ямчитського, буд. 68, Коломия, 23673",003 777 42 75,varfolomiihavryliv@example.com
Вишняк,Олена,Вікторівна,Жіноча,06.02.2003,Футболіст,хутір Запоріжжя,"площа Олександра Невського 1-й, буд. 6 кв. 067, Сквира, 09956",444-61-39,anastasiia21@example.net
Яценко,Аніта,Михайлівна,Жіноча,08.01.2005,Конструктор,місто Заліщики,"вулиця Садова 5-та, буд. 72 кв. 926, Корюківка, 12734",+380 (45) 089-26-85,kverhun@example.com
Андрусенко,Борис,Васильович,Чоловіча,20.01.1987,Астроном,місто Кремінна,"вулиця Деревообробний 2-й, буд. 98, Моспине, 20919",+380 84 193-91-23,halyna84@example.com
Юрчишин,Алла,Вікторівна,Жіноча,31.01.1953,М'ясник,місто Білозерське,"проспект Ковиловий, буд. 1 кв. 434, Путивль, 46904",062 840 16 71,zhadaniosyp@example.com
Годунок,Григорій,Іванович,Чоловіча,31.05.1967,Кухар,село Молодогвардійськ,"вулиця Щоглова, буд. 02, Іллінці, 11136",+380 (94) 506-55-16,ederhach@example.net
Баклан,Олена,Миколаївна,Жіноча,27.01.1972,Графік,хутір Жовква,"узвіз Латвійський узвіз, буд. 69 кв. 326, Копичинці, 65259",128 43 24,rostyslaviakovenko@example.com
Заєць,Пилип,Сергійович,Чоловіча,11.12.1941,Слідчий,село Косів,"узвіз Ушинського, буд. 254, Судак , 55237",753 37 88,rpustovit@example.com
Тесля,Демʼян,Миколайович,Чоловіча,13.02.1950,Біолог,місто Берегове,"вулиця Андросовський, буд. 35 кв. 50, Білозерське, 76413",032 607-01-24,kolodubalina@example.org
Башполченко,Ярослава,Сергіївна,Жіноча,31.03.1952,Педагог,село Рубіжне,"провулок Восьмого березня 4-й, буд. 34, Апостолове, 71084",012 930-26-67,izaporozhets@example.org
Валенко,Максим,Миколайович,Чоловіча,24.12.1957,Золотар,село Снятин,"провулок Маячний, буд. 08, Антрацит , 11259",088 314-77-33,ustymdemianchuk@example.com
Канівець,Дан,Миколайович,Чоловіча,03.09.1947,Зоолог,селище Таврійськ,"проспект Старицького, буд. 74, Володимир-Волинський, 16239",+380 97 088-73-96,eduardabrahamovskyi@example.net
Заєць,Омелян,Михайлович,Чоловіча,09.10.1937,Бухгалтер,хутір Сквира,"провулок Пересипський міст, буд. 864 кв. 93, Хоростків, 25464",+380 25 032 89 39,darynakorpaniuk@example.com
Євтушок,Златослава,Володимирівна,Жіноча,22.03.1990,М'ясник,село Новоселиця,"провулок Ф. Пішеніна, буд. 2, Білопілля, 38257",675 64 61,orysiashablii@example.net
Стельмах,Давид,Миколайович,Чоловіча,21.05.1999,Дерун,селище Ніжин,"площа Новгородський 2-й, буд. 760 кв. 00, Ясинувата, 44994",+380 74 936-94-15,olifirenkovasyl@example.com
Василечко,Спас,Іванович,Чоловіча,29.05.1961,Біолог,місто Суходільськ,"парк Багрицького, буд. 9 кв. 062, Ічня, 64866",009 108-46-33,pylypzaiets@example.com
Лавренко,Теодор,Іванович,Чоловіча,29.09.1952,Піаніст,хутір Білицьке,"парк Весела, буд. 9 кв. 0, Радомишль, 03323",+380 90 544 12 24,leonid39@example.net
Охримович,Федір,Миколайович,Чоловіча,12.01.1953,Композитор,місто Тараща,"набережна Іспанський, буд. 975, Кременець, 83782",488 07 78,valentyna15@example.org
Карпа,Трохим,Олександрович,Чоловіча,19.07.1949,Піаніст,село Васильків,"сквер Терещенка Володимира, буд. 8, Географія Вільнянська, 70725",066 854 21 21,zievtushenko@example.org
Бараник,Валерій,Володимирович,Чоловіча,18.12.1978,Пілот,хутір Вишгород,"узвіз Леонтовича, буд. 40 кв. 255, Вільногірськ, 67750",766-51-93,verkholaorysia@example.com
Атаманчук,Борислав,Васильович,Чоловіча,18.11.1951,Електрослюсар,місто Ковель,"площа Толбухіна, буд. 0, Канів, 19116",580 37 23,vasyl74@example.net
Бевз,Дмитро,Васильович,Чоловіча,13.01.1988,Слідчий,хутір Новояворівськ,"парк Газова, буд. 5 кв. 96, Шостка, 54581",+380 57 979-64-54,avhustynneporozhnii@example.org
Червоненко,Орися,Вікторівна,Жіноча,28.12.1975,Локсмайстер,місто Південне ,"шосе Неплія, буд. 572, Нова Одеса, 96228",085 228-41-35,orestskoryk@example.com
Затула,Клавдія,Вікторівна,Жіноча,28.11.1987,Шериф,село Радомишль,"парк Головна, буд. 961 кв. 63, Новояворівськ, 21555",345-97-14,marusiadanyliuk@example.org
Гаєвський,Артем,Сергійович,Чоловіча,16.03.1999,Стоматолог,село Сєвєродонецьк,"парк Соляний 6-й, буд. 9, Вашківці, 83438",382 97 66,bohuslavkorpaniuk@example.org
Шеремет,Одарка,Володимирівна,Жіноча,01.12.1976,Круп'є,селище Чернівці,"вулиця Соляний 3-й, буд. 187 кв. 0, Берегове, 13616",+380 (95) 669-31-62,dvasylevych@example.com
Чорновіл,Яків,Іванович,Чоловіча,07.03.1960,Історик,село Новий Розділ,"проспект Дунаєвського, буд. 0, Петрово-Красносілля, 74825",116-83-93,adasachenko@example.org
Шаповал,Софія,Іванівна,Жіноча,03.11.1948,Архітектор,хутір Березівка,"проспект Студентський 5-й, буд. 51 кв. 261, Роздільна, 39496",+380 70 528-24-43,heorhii86@example.com
Каденюк,Леонід,Васильович,Чоловіча,18.11.1991,Бібліотекар,село Шпола,"шосе Садиковська, буд. 8 кв. 60, Кам'янка-Бузька, 40735",041 058 17 53,zlatoslava42@example.net
Якимчук,Мілена,Миколаївна,Жіноча,27.07.1997,Астрофізик,село Буча,"узвіз Підйомний, буд. 1, Буча, 86671",020 849 88 14,orysia76@example.org
Адаменко,Єфрем,Васильович,Чоловіча,04.03.1972,Електротехнік,місто Іловайськ,"набережна Слєпньова, буд. 223, Щолкіне, 93386",+380 (42) 576-08-15,prokhirsvyrydenko@example.net
Вітер,Прохір,Васильович,Чоловіча,26.03.1976,Кур'єр,місто Новомосковськ,"набережна Лузанівська, буд. 64 кв. 97, Білозерське, 01527",+380 (58) 354-52-59,tetiana86@example.com
Гупало,Варвара,Михайлівна,Жіноча,23.01.1972,Продюсер,хутір Алмазна,"площа Змієнка Всеволода, буд. 380, Кам'янка (Черкаська область), 92908",+380 57 503-57-57,tlubenets@example.org
Андрієвич,Гордій,Михайлович,Чоловіча,10.05.1994,Фрілансер,місто Кролевець,"сквер Тупиковий, буд. 292 кв. 638, Алушта, 87841",092-87-48,sviatoslava05@example.net
Гавришкевич,Аліна,Миколаївна,Жіноча,28.07.1963,Складальник,хутір Вараш,"площа Відважних, буд. 4 кв. 027, Татарбунари, 77816",574 49 58,onufriienkookseniia@example.com
Москаль,Леонтій,Михайлович,Чоловіча,01.02.1975,Актор,місто Богодухів,"вулиця Лип Івана та Юрія, буд. 4, Чернігів, 74536",+380 55 101-65-67,iaroslava99@example.com
Наливайко,Ілля,Володимирович,Чоловіча,13.02.1979,Няня,село Миронівка,"парк Тимірязєва 5-й, буд. 58, Моршин, 35627",+380 72 640-08-01,dbairak@example.net
Безбородьки,Гаврило,Михайлович,Чоловіча,04.08.1985,Агроном,селище Верхньодніпровськ,"узвіз Весняна, буд. 426 кв. 05, Жданівка, 42445",+380 71 846-12-64,perebyinisaaron@example.net
Сіробаба,Михайло,Сергійович,Чоловіча,09.08.1984,Фармацевт,село Сулимівка (Слов'янськ),"набережна Старорізнична, буд. 0 кв. 75, Бердичів, 64565",+380 85 572-41-91,alevchenko@example.com
Деряжний,Климент,Вікторович,Чоловіча,18.12.1976,Кінорежисер,місто Суми,"провулок Глухий міст, буд. 470 кв. 8, Пустомити, 51043",+380 52 192-30-78,fvitruk@example.com
Заїка,Нестор,Михайлович,Чоловіча,24.04.1945,Фотограф,селище Здолбунів,"вулиця Михайла Грушевського, буд. 440, Первомайський , 25237",+380 57 376-89-79,mlubenets@example.net
Адамчук,Азар,Іванович,Чоловіча,12.02.1989,Кур'єр,хутір Олевськ,"парк Трудових резервів, буд. 48, Решетилівка, 07796",235 25 76,shevchenkokhoma@example.com
Давимука,Назар,Васильович,Чоловіча,23.06.1986,Каскадер,селище Ладижин,"узвіз Горбатий міст, буд. 84, Сквира, 55536",062 827-73-49,ilienkoparmen@example.net
Дробаха,Данна,Іванівна,Жіноча,21.09.2003,Літературознавець,селище Вінниця,"набережна Лютневий 1-й, буд. 4 кв. 8, Куп'янськ, 31090",537-15-51,tivanychuk@example.com
Величко,Левко,Олександрович,Чоловіча,06.01.1977,Фізик,хутір Донецьк,"набережна Кавунова, буд. 3, Тростянець, 06558",062 346 59 00,marta62@example.net
Засуха,Леонтій,Миколайович,Чоловіча,22.07.1994,Ветеринар,село Бахмут,"проспект Дальня, буд. 670, Феодосія, 63282",+380 42 080-47-66,ihor35@example.net
Масоха,Климент,Миколайович,Чоловіча,30.11.1997,Бібліограф,хутір Валки ,"парк Миколи Гумільова, буд. 693, Ромни, 84523",304 06 09,niatsenko@example.net
Якимчук,Богодар,Миколайович,Чоловіча,02.10.1985,Геолог,селище Бурштин ,"узвіз Левкоєва, буд. 677, Городенка, 51084",+380 66 008-58-54,vasylynazinchuk@example.org
